Year,PV_Production_kWh,Load_kWh,Import_kWh,Export_kWh,Grid_Independence_%,Battery_SOH_%,Replacements,Replacement_Cost,PV_Degradation_Factor
1,2718.201373216225,4998.5528085000005,2859.79921089202,534.8759863032188,42.78745628076685,94.59493542683396,0,0.0,1.0
2,2704.6103663501435,4998.5528085000005,2881.4601790467027,543.9385572149494,42.354111491093946,91.570848400581,0,0.0,0.995
3,2691.087314518393,4998.5528085000005,2898.859799827044,548.6508664727102,42.0060183239926,89.06205233030654,0,0.0,0.990025
4,2677.631877945801,4998.5528085000005,2914.522455184299,551.5787594530034,41.692674523150465,86.8373562474679,0,0.0,0.985074875
5,2664.2437185560716,4998.5528085000005,2929.0564410977017,553.4223210381803,41.40191064668029,84.80199883801149,0,0.0,0.980149500625
6,2650.9224999632916,4998.5528085000005,2942.826751324097,554.5140488103285,41.12642470597003,82.90555686948174,0,0.0,0.975248753121875
7,2637.6678874634745,4998.5528085000005,2956.02154168733,555.0489076125675,40.8624524950374,81.11718314106562,0,0.0,0.9703725093562656
8,2624.4795480261573,4998.5528085000005,2968.6960644176247,555.13662164082,40.608888649343065,79.41628180694947,0,0.0,0.9655206468094842
9,2611.357150286027,4998.5528085000005,2981.017385924167,554.8962627505255,40.36239087331498,77.7882822702335,0,0.0,0.9606930435754368
10,2598.3003645345966,4998.5528085000005,2993.0213544009057,554.3680330746558,40.122241995497255,76.22238436742053,0,0.0,0.9558895783575596
11,2585.3088627119237,4998.5528085000005,3004.7307563127783,553.6120126478646,39.88798615464746,74.71029149150382,0,0.0,0.9511101304657719
12,2572.382318398364,4998.5528085000005,3016.191351503281,552.6667864093715,39.658707888925946,73.24548046600785,0,0.0,0.946354579813443
13,2559.520406806372,4998.5528085000005,3027.4094755720616,551.530859003362,39.43428044965385,71.82267835349947,0,0.0,0.9416228069143757
14,2546.7228047723406,4998.5528085000005,3038.4278410648785,550.2357644384975,39.21384933859146,70.43756388035543,0,0.0,0.9369146928798039
15,2533.989190748479,4998.5528085000005,2949.2818581116876,446.0111973937561,40.99728519229693,95.7037334426876,1,2844.0,0.9322301194154049
16,2521.3192447947363,4998.5528085000005,2937.788497233701,418.72953775476105,41.22721896149593,92.4163891280266,0,0.0,0.9275689688183278
17,2508.7126485707627,4998.5528085000005,2955.061809345574,424.20530935158837,40.881652699146954,89.80174784642372,0,0.0,0.9229311239742362
18,2496.1690853279083,4998.5528085000005,2970.2928859760614,427.59597148816533,40.57694297187175,87.51846968915139,0,0.0,0.918316468354365
19,2483.688239901269,4998.5528085000005,2984.424941514098,429.9165480636826,40.294220030263425,85.44627941897589,0,0.0,0.9137248860125932
20,2471.2697987017623,4998.5528085000005,2997.8087175701344,431.4808594678872,40.02646701116404,83.52507117448563,0,0.0,0.9091562615825302
